,Date,Time,Latitude,Longitude,Type,Depth,Depth Error,Depth Seismic Stations,Magnitude,Magnitude Type,Magnitude Error,Magnitude Seismic Stations,Azimuthal Gap,Horizontal Distance,Horizontal Error,Root Mean Square,ID,Source,Location Source,Magnitude Source,Status
1545,04/07/1970,06:34:19,15.527,121.811,Earthquake,25.0,,,5.8,MW,,,,,,,ISCGEM796382,ISCGEM,ISCGEM,ISCGEM,Automatic
1546,04/08/1970,13:50:29,38.304,22.682,Earthquake,20.0,,,6.3,MW,,,,,,,ISCGEM796453,ISCGEM,ISCGEM,ISCGEM,Automatic
1547,04/08/1970,14:41:07,-13.863,166.821,Earthquake,45.0,,,5.9,MW,,,,,,,ISCGEM796457,ISCGEM,ISCGEM,ISCGEM,Automatic
1548,04/08/1970,21:23:58,15.457,121.723,Earthquake,25.0,,,6.5,MW,,,,,,,ISCGEM796476,ISCGEM,ISCGEM,ISCGEM,Automatic
1549,04/09/1970,00:00:17,45.106,149.24,Earthquake,110.0,,,5.7,MW,,,,,,,ISCGEM796489,ISCGEM,ISCGEM,ISCGEM,Automatic
1550,04/09/1970,16:24:28,13.067,-92.371,Earthquake,10.0,,,5.8,MW,,,,,,,ISCGEM796529,ISCGEM,ISCGEM,ISCGEM,Automatic
1551,04/10/1970,14:09:17,-27.595,-177.911,Earthquake,163.0,,,5.7,MW,,,,,,,ISCGEM796571,ISCGEM,ISCGEM,ISCGEM,Automatic
1552,04/11/1970,04:05:45,59.61,-142.594,Earthquake,15.0,,,6.1,MW,,,,,,,ISCGEM796590,ISCGEM,ISCGEM,ISCGEM,Automatic
1553,04/11/1970,06:21:18,-18.966,-173.545,Earthquake,25.0,,,5.8,MW,,,,,,,ISCGEM796595,ISCGEM,ISCGEM,ISCGEM,Automatic
1554,04/12/1970,04:01:46,15.136,122.064,Earthquake,22.5,,,6.9,MW,,,,,,,ISCGEM796629,ISCGEM,ISCGEM,ISCGEM,Automatic
1555,04/12/1970,04:16:57,15.263,122.063,Earthquake,19.1,,,5.7,MW,,,,,,,ISCGEM796632,ISCGEM,ISCGEM,ISCGEM,Automatic
1556,04/12/1970,05:18:09,15.164,122.443,Earthquake,22.5,,,5.6,MW,,,,,,,ISCGEM796640,ISCGEM,ISCGEM,ISCGEM,Automatic
1557,04/14/1970,13:46:30,-21.08,-174.311,Earthquake,25.0,,,5.8,MW,,,,,,,ISCGEMSUP796734,ISCGEMSUP,ISCGEM,ISCGEM,Automatic
1558,04/14/1970,19:08:19,-33.308,19.486,Earthquake,10.0,,,5.7,MW,,,,,,,ISCGEM796738,ISCGEM,ISCGEM,ISCGEM,Automatic
1559,04/15/1970,13:14:25,15.219,122.624,Earthquake,25.0,,,6.2,MW,,,,,,,ISCGEM796759,ISCGEM,ISCGEM,ISCGEM,Automatic
1560,04/16/1970,01:55:57,34.579,141.629,Earthquake,25.0,,,6.0,MW,,,,,,,ISCGEM796780,ISCGEM,ISCGEM,ISCGEM,Automatic
1561,04/16/1970,05:33:21,59.702,-142.683,Earthquake,15.0,,,6.7,MW,,,,,,,ISCGEM796787,ISCGEM,ISCGEM,ISCGEM,Automatic
1562,04/18/1970,08:50:41,59.804,-152.78,Earthquake,97.9,,,5.6,MW,,,,,,,ISCGEM796868,ISCGEM,ISCGEM,ISCGEM,Automatic
1563,04/18/1970,23:25:35,42.928,147.232,Earthquake,28.3,,,6.1,MW,,,,,,,ISCGEM796897,ISCGEM,ISCGEM,ISCGEM,Automatic
1564,04/19/1970,01:15:48,59.571,-142.807,Earthquake,15.0,,,5.9,MW,,,,,,,ISCGEM796899,ISCGEM,ISCGEM,ISCGEM,Automatic
1565,04/19/1970,13:29:38,38.972,29.753,Earthquake,18.4,,,6.1,MW,,,,,,,ISCGEM796915,ISCGEM,ISCGEM,ISCGEM,Automatic
